Ce_wt,Cr_wt,T_equil_C,C,SI,MN,CU,NI,P,S,CE,CR,calculation_status,calculation_error,stable_phases,n_stable_phases,phasefrac_FCC_A1#1,phasefrac_MS_B1#1,phase_fraction_sum,phasefrac_base_CE2C3_D5C,phasefrac_base_CE3S4_D73,phasefrac_base_LAVES_C15,phasefrac_base_MU_PHASE,phasefrac_base_LAVES_C14,phasefrac_base_BCC_A2,phasefrac_base_CHI,phasefrac_base_MS_B1,phasefrac_base_FCC_A1,phasefrac_base_SIGMA,phasefrac_base_CE2S3,phasefrac_base_M7C3_D101,matrix_phase_fraction,matrix_Cr_wt,matrix_Mn_wt,matrix_Cu_wt,phasefrac_CE2S3#1,phasefrac_CE3S4_D73#1,phasefrac_CE2C3_D5C#1,harmful_phase_fraction,calphad_feasible
0.015,1.3,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.015,1.3,ok,,CE2S3#1;CE3S4_D73#1;FCC_A1#1,3,0.9998545617918125,,1.0,0.0,3.607754372021833e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.9998545617918125,0.0,0.00010936066446724616,0.0,0.9998545617918125,1.3002600519065484,0.6001200239568668,0.35007001397483806,0.00010936066446724616,3.607754372021833e-05,,0.0,True
0.02,0.8,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.02,0.8,ok,,CE3S4_D73#1;FCC_A1#1;MS_B1#1,3,0.9998347543545559,0.00011423576323749163,1.0,0.0,5.1009882206589315e-05,0.0,0.0,0.0,0.0,0.0,0.00011423576323749163,0.9998347543545559,0.0,0.0,0.0,0.9998347543545559,0.8002000529244548,0.6001493889304259,0.3500875240818361,,5.1009882206589315e-05,,0.0,True
0.02,0.9,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.02,0.9,ok,,CE3S4_D73#1;FCC_A1#1;MS_B1#1,3,0.999834766469002,0.00011422745483513298,1.0,0.0,5.100607616283907e-05,0.0,0.0,0.0,0.0,0.0,0.00011422745483513298,0.999834766469002,0.0,0.0,0.0,0.999834766469002,0.9002250595456199,0.6001493883270042,0.350087524084852,,5.100607616283907e-05,,0.0,True
0.02,1.0,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.02,1.0,ok,,CE3S4_D73#1;FCC_A1#1;MS_B1#1,3,0.9998347785816786,0.00011421914760590302,1.0,0.0,5.100227071555178e-05,0.0,0.0,0.0,0.0,0.0,0.00011421914760590302,0.9998347785816786,0.0,0.0,0.0,0.9998347785816786,1.0002500661680316,0.600149387724746,0.3500875240878654,,5.100227071555178e-05,,0.0,True
0.02,1.1,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.02,1.1,ok,,CE3S4_D73#1;FCC_A1#1;MS_B1#1,3,0.9998347906925857,0.00011421084154942019,0.9999999999999998,0.0,5.0998465864697664e-05,0.0,0.0,0.0,0.0,0.0,0.00011421084154942019,0.9998347906925857,0.0,0.0,0.0,0.9998347906925857,1.1002750727916941,0.6001493871236435,0.35008752409087646,,5.0998465864697664e-05,,0.0,True
0.02,1.2,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.02,1.2,ok,,CE3S4_D73#1;FCC_A1#1;MS_B1#1,3,0.9998348028017244,0.00011420253666533735,1.0,0.0,5.099466161021716e-05,0.0,0.0,0.0,0.0,0.0,0.00011420253666533735,0.9998348028017244,0.0,0.0,0.0,0.9998348028017244,1.2003000794166068,0.6001493865236898,0.3500875240938826,,5.099466161021716e-05,,0.0,True
0.02,1.3,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.02,1.3,ok,,CE3S4_D73#1;FCC_A1#1;MS_B1#1,3,0.9998348149090945,0.0001141942329532826,1.0,0.0,5.099085795207265e-05,0.0,0.0,0.0,0.0,0.0,0.0001141942329532826,0.9998348149090945,0.0,0.0,0.0,0.9998348149090945,1.3003250860427749,0.6001493859248992,0.35008752409688976,,5.099085795207265e-05,,0.0,True
0.025,0.8,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.025,0.8,ok,,FCC_A1#1;MS_B1#1,2,0.9998274620419035,0.0001725379580963779,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001725379580963779,0.9998274620419035,0.0,0.0,0.0,0.9998274620419035,0.800214834714871,0.600161126028169,0.35009399018789245,,,,0.0,True
0.025,0.9,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.025,0.9,ok,,FCC_A1#1;MS_B1#1,2,0.99982747470053,0.00017252529946977572,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017252529946977572,0.99982747470053,0.0,0.0,0.0,0.99982747470053,0.9002416890542143,0.6001611260281453,0.3500939901878838,,,,0.0,True
0.025,1.0,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.025,1.0,ok,,FCC_A1#1;MS_B1#1,2,0.9998274873572995,0.00017251264270054322,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017251264270054322,0.9998274873572995,0.0,0.0,0.0,0.9998274873572995,1.0002685433935457,0.6001611260281156,0.35009399018787457,,,,0.0,True
0.025,1.1,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.025,1.1,ok,,FCC_A1#1;MS_B1#1,2,0.9998275000122119,0.00017249998778827118,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017249998778827118,0.9998275000122119,0.0,0.0,0.0,0.9998275000122119,1.1002953977328738,0.6001611260280927,0.35009399018786674,,,,0.0,True
0.025,1.2,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.025,1.2,ok,,FCC_A1#1;MS_B1#1,2,0.9998275126652674,0.00017248733473255155,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017248733473255155,0.9998275126652674,0.0,0.0,0.0,0.9998275126652674,1.200322252072195,0.6001611260280726,0.3500939901878582,,,,0.0,True
0.025,1.3,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.025,1.3,ok,,FCC_A1#1;MS_B1#1,2,0.9998275253164669,0.00017247468353297554,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017247468353297554,0.9998275253164669,0.0,0.0,0.0,0.9998275253164669,1.3003491064115156,0.6001611260280485,0.35009399018784887,,,,0.0,True
0.03,0.8,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.03,0.8,ok,,FCC_A1#1;MS_B1#1,2,0.9998274568999872,0.00017254310001270972,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017254310001270972,0.9998274568999872,0.0,0.0,0.0,0.9998274568999872,0.8002148347168716,0.6001611260345614,0.3500939901887693,,,,0.0,True
0.03,0.9,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.03,0.9,ok,,FCC_A1#1;MS_B1#1,2,0.9998274695593681,0.00017253044063190849,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017253044063190849,0.9998274695593681,0.0,0.0,0.0,0.9998274695593681,0.9002416890564633,0.6001611260345469,0.35009399018876014,,,,0.0,True
0.03,1.0,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.03,1.0,ok,,FCC_A1#1;MS_B1#1,2,0.9998274822168913,0.00017251778310864205,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017251778310864205,0.9998274822168913,0.0,0.0,0.0,0.9998274822168913,1.0002685433960412,0.6001611260345244,0.35009399018875176,,,,0.0,True
0.03,1.1,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.03,1.1,ok,,FCC_A1#1;MS_B1#1,2,0.9998274948725575,0.00017250512744250177,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017250512744250177,0.9998274948725575,0.0,0.0,0.0,0.9998274948725575,1.1002953977356207,0.6001611260345106,0.35009399018874265,,,,0.0,True
0.03,1.2,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.03,1.2,ok,,FCC_A1#1;MS_B1#1,2,0.9998275075263671,0.0001724924736330798,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001724924736330798,0.9998275075263671,0.0,0.0,0.0,0.9998275075263671,1.2003222520751946,0.600161126034498,0.35009399018873466,,,,0.0,True
0.03,1.3,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.03,1.3,ok,,FCC_A1#1;MS_B1#1,2,0.99982752017832,0.0001724798216799664,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001724798216799664,0.99982752017832,0.0,0.0,0.0,0.99982752017832,1.3003491064147603,0.6001611260344722,0.3500939901887278,,,,0.0,True
0.035,0.8,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.035,0.8,ok,,FCC_A1#1;MS_B1#1,2,0.9998274517587056,0.00017254824129406404,0.9999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017254824129406404,0.9998274517587056,0.0,0.0,0.0,0.9998274517587056,0.8002148347178528,0.6001611260364788,0.3500939901892026,,,,0.0,True
0.035,0.9,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.035,0.9,ok,,FCC_A1#1;MS_B1#1,2,0.999827464418841,0.0001725355811589939,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001725355811589939,0.999827464418841,0.0,0.0,0.0,0.999827464418841,0.9002416890575657,0.6001611260364577,0.35009399018919435,,,,0.0,True
0.035,1.0,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.035,1.0,ok,,FCC_A1#1;MS_B1#1,2,0.9998274770771183,0.00017252292288162516,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017252292288162516,0.9998274770771183,0.0,0.0,0.0,0.9998274770771183,1.0002685433972762,0.6001611260364463,0.3500939901891842,,,,0.0,True
0.035,1.1,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.035,1.1,ok,,FCC_A1#1;MS_B1#1,2,0.9998274897335379,0.00017251026646155013,0.9999999999999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017251026646155013,0.9998274897335379,0.0,0.0,0.0,0.9998274897335379,1.1002953977369678,0.6001611260364267,0.35009399018917675,,,,0.0,True
0.035,1.2,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.035,1.2,ok,,FCC_A1#1;MS_B1#1,2,0.9998275023881015,0.00017249761189835837,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017249761189835837,0.9998275023881015,0.0,0.0,0.0,0.9998275023881015,1.2003222520766708,0.6001611260364107,0.3500939901891691,,,,0.0,True
0.035,1.3,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.035,1.3,ok,,FCC_A1#1;MS_B1#1,2,0.9998275150408085,0.0001724849591916417,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001724849591916417,0.9998275150408085,0.0,0.0,0.0,0.9998275150408085,1.3003491064163597,0.6001611260363924,0.3500939901891603,,,,0.0,True
0.04,0.8,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.04,0.8,ok,,FCC_A1#1;MS_B1#1,2,0.9998274466174298,0.00017255338257031417,1.0000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017255338257031417,0.9998274466174298,0.0,0.0,0.0,0.9998274466174298,0.8002148347185187,0.6001611260374998,0.35009399018949416,,,,0.0,True
0.04,0.9,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.04,0.9,ok,,FCC_A1#1;MS_B1#1,2,0.9998274592783191,0.00017254072168090853,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017254072168090853,0.9998274592783191,0.0,0.0,0.0,0.9998274592783191,0.9002416890583138,0.6001611260374861,0.3500939901894857,,,,0.0,True
0.04,1.0,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.04,1.0,ok,,FCC_A1#1;MS_B1#1,2,0.9998274719373504,0.00017252806264937053,0.9999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017252806264937053,0.9998274719373504,0.0,0.0,0.0,0.9998274719373504,1.0002685433980971,0.6001611260374674,0.3500939901894757,,,,0.0,True
0.04,1.1,900.0,0.05,0.75,0.6,0.35,0.2,0.015,0.005,0.04,1.1,ok,,FCC_A1#1;MS_B1#1,2,0.9998274845945246,0.0001725154054752921,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001725154054752921,0.9998274845945246,0.0,0.0,0.0,0.9998274845945246,1.1002953977378782,0.6001611260374524,0.3500939901894686,,,,0.0,True
