Ce_wt,Cr_wt,T_equil_C,C,SI,MN,CU,NI,P,S,CE,CR,calculation_status,calculation_error,stable_phases,n_stable_phases,phasefrac_BCC_A2#1,phasefrac_M7C3_D101#1,phasefrac_MS_B1#1,phase_fraction_sum,phasefrac_base_BCC_A2,phasefrac_base_CEMENTITE_D011,phasefrac_base_M7C3_D101,phasefrac_base_MS_B1,phasefrac_base_CE2S3,phasefrac_base_CE3S4_D73,phasefrac_base_CE2C3_D5C,matrix_phase_fraction,matrix_Cr_wt,matrix_Mn_wt,matrix_Cu_wt,phasefrac_CE2S3#1,phasefrac_CE3S4_D73#1,phasefrac_CE2C3_D5C#1,harmful_phase_fraction,calphad_feasible
0.03,1.0,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.03,1.0,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9916082498001839,0.008138712776118924,0.00017329580048909253,1.0000000000000002,0.9916082498001839,0.0,0.008138712776118924,0.00017329580048909253,0.0,0.0,7.974162320831137e-05,0.9916082498001839,0.746456466634454,0.7708460235818523,0.3019371302639391,,,7.974162320831137e-05,0.0,False
0.03,1.1,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.03,1.1,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9915207330656833,0.008226467914107175,0.0001732830307884107,1.0,0.9915207330656833,0.0,0.008226467914107175,0.0001732830307884107,0.0,0.0,7.95159894211387e-05,0.9915207330656833,0.8300277284248583,0.7726050966021519,0.3019539425505001,,,7.95159894211387e-05,0.0,True
0.03,1.2,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.03,1.2,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.991445192507672,0.008302280128789506,0.0001732702629558511,1.0000000000000002,0.991445192507672,0.0,0.008302280128789506,0.0001732702629558511,0.0,0.0,7.925710058276964e-05,0.991445192507672,0.914990178629672,0.7742108970262379,0.3019682621806024,,,7.925710058276964e-05,0.0,True
0.03,1.3,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.03,1.3,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9913797252445111,0.00836805524066017,0.00017325749699138206,1.0000000000000002,0.9913797252445111,0.0,0.00836805524066017,0.00017325749699138206,0.0,0.0,7.89620178374521e-05,0.9913797252445111,1.0011710356214096,0.7756809078323796,0.3019804943108695,,,7.89620178374521e-05,0.0,True
0.03,1.4,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.03,1.4,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.991322732831252,0.008425394744980025,0.000173244732895139,1.0,0.991322732831252,0.0,0.008425394744980025,0.000173244732895139,0.0,0.0,7.862769087278115e-05,0.991322732831252,1.088424034902125,0.7770308399836612,0.3019909791384964,,,7.862769087278115e-05,0.0,True
0.035,1.0,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.035,1.0,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9916545877166693,0.008042796135188246,0.000173300985775267,1.0,0.9916545877166693,0.0,0.008042796135188246,0.000173300985775267,0.0,0.0,0.0001293151623672893,0.9916545877166693,0.749065387551054,0.7712920516141971,0.30193243306522644,,,0.0001293151623672893,0.0,False
0.035,1.1,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.035,1.1,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9915673422012617,0.008130285129787739,0.00017328821531052647,0.9999999999999996,0.9915673422012617,0.0,0.008130285129787739,0.00017328821531052647,0.0,0.0,0.00012908445363957056,0.9915673422012617,0.8328259233364759,0.7730254860156843,0.3019492212693908,,,0.00012908445363957056,0.0,True
0.035,1.2,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.035,1.2,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9914920540459696,0.008205850186484034,0.0001732754467139945,1.0000000000000002,0.9914920540459696,0.0,0.008205850186484034,0.0001732754467139945,0.0,0.0,0.00012882032083252822,0.9914920540459696,0.9179632324616481,0.7746080682736437,0.3019635182426793,,,0.00012882032083252822,0.0,True
0.035,1.3,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.035,1.3,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9914268165391811,0.008271400964619088,0.00017326267998566075,1.0,0.9914268165391811,0.0,0.008271400964619088,0.00017326267998566075,0.0,0.0,0.0001285198162142294,0.9914268165391811,1.0043061025875588,0.7760570017175821,0.30197573034769704,,,0.0001285198162142294,0.0,True
0.035,1.4,700.0,0.06,0.25,0.8,0.3,0.3,0.015,0.005,0.035,1.4,ok,,BCC_A2#1;CE2C3_D5C#1;M7C3_D101#1;MS_B1#1,4,0.9913700304973668,0.008328539706766221,0.00017324991512567705,1.0,0.9913700304973668,0.0,0.008328539706766221,0.00017324991512567705,0.0,0.0,0.00012817988074132936,0.9913700304973668,1.091709666843757,0.7773877400816279,0.3019861982327674,,,0.00012817988074132936,0.0,True
